Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
CT1 Yên Nghĩa,,,Yên Nghĩa,Yên Nghĩa,Hà Đông,61,1.63,Đông - Nam,Đông - Nam,2,1
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,97,4.54,,,3,2
,,,Đội Cấn,Đội Cấn,Ba Đình,50,0.661,Tây,Đông - Nam,2,1
,,,Văn Cao,Đội Cấn,Ba Đình,58,0.855,Tây,Đông - Nam,2,2
Hải Đăng Tower,9,29,Láng Hạ,Láng Hạ,Đống Đa,90,8.1,Bắc,Nam,2,2
The Miami,,,,Tây Mỗ,Nam Từ Liêm,89,3.85,,,3,
Mỹ Đình Pearl,,,,Phú Đô,Nam Từ Liêm,80,3.6,Tây - Nam,Đông - Bắc,2,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,78,2.7,Tây - Bắc,Đông - Nam,2,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,86,3.2,Tây - Bắc,Đông - Nam,2,2
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,148,6.3,Tây - Bắc,Đông - Nam,3,2
Discovery Complex,,,Cầu Giấy,Dịch Vọng,Cầu Giấy,92,4.3,Đông - Bắc,Đông - Nam,2,
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,210,11,Đông - Nam,,4,3
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,63.15,3.15,Tây - Bắc,Đông - Nam,2,2
Diamond Park Plaza ,16,,Láng Hạ,Thành Công,Ba Đình,57,4.6,,,1,1
Packexim,15,,An Dương Vương,Phú Thượng,Tây Hồ,123,3.15,,,3,2
Hateco Laroma,,,Chùa Láng,Láng Thượng,Đống Đa,103,7.3,,Nam,2,2
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,120,5.6,,,3,3
ĐTM Dịch Vọng,,,Trần Quý Kiên,Dịch Vọng,Cầu Giấy,53,2,,,,
Le Grand Jardin Sài Đồng,,,,,Long Biên,65,2.5,Đông - Nam,Tây - Bắc,2,2
Sun Grand City,,,Thụy Khuê,Thụy Khuê,Tây Hồ,120,9.8,Nam,Bắc,2,2
KĐT Mễ Trì Hạ,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,57,2.05,Đông - Bắc,Tây - Nam,2,1
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,57,2.1,,,2,2
Mỹ Đình Pearl,,,,Phú Đô,Nam Từ Liêm,72.67,3.5,Tây - Nam,Đông - Bắc,2,2
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,67,2.4,Tây - Bắc,Đông - Nam,2,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,125,3.8,Tây - Bắc,Đông - Nam,3,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,130,3.9,Tây - Nam,Đông - Nam,3,2
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,100,4,Tây - Nam,Đông - Nam,3,2
Sun Square,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,96,3.6,,,2,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,133,4.2,Đông,,2,2
Tứ Hiệp Plaza,,,,Tứ Hiệp,Thanh Trì,84,2.15,Đông - Nam,Tây - Bắc,3,2
Vinhomes Nguyễn Chí Thanh,54A,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,116,8.1,Tây - Nam,Tây - Bắc,3,2
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,260,14,,,4,4
MD Complex Mỹ Đình,,,Hàm Nghi,Mỹ Đình 1,Nam Từ Liêm,94,3.65,,,2,
Park View Residence,,,Tố Hữu,Dương Nội,Hà Đông,57,1.65,Đông - Nam,Tây - Bắc,2,2
,,,Lê Duẩn,Khâm Thiên,Đống Đa,35,0.65,,,2,1
Eco Lake View,32,,Đại Từ,Đại Kim,Hoàng Mai,103,3.81,,Đông - Nam,3,2
Imperia Garden,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,131,5.5,Đông - Nam,Đông - Nam,3,
,,,Chùa Bộc,Kim Liên,Đống Đa,35,0.65,,,2,1
Bamboo Airways Tower,265,,Cầu Giấy,Dịch Vọng,Cầu Giấy,116,5.4,,,3,
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,43,1.7,,,1,
,,,Kim Ngưu,Thanh Lương,Hai Bà Trưng,30,0.65,,,,
Rice City Linh Đàm,,,,Hoàng Liệt,Hoàng Mai,68,2.25,Đông - Nam,Tây - Bắc,2,2
The Link 345-CT1,,,,Đông Ngạc,Bắc Từ Liêm,53,3,,,,
KĐT Linh Đàm,,,Nguyễn Phan Chánh,Hoàng Liệt,Hoàng Mai,70,2.25,Tây - Nam,Đông - Bắc,2,
,,,Chùa Bộc,Quang Trung,Đống Đa,32,0.7,,,1,1
Tràng An Complex,1,,Phùng Chí Kiên,Nghĩa Đô,Cầu Giấy,89,4.25,Bắc,Nam,3,2
Heritage West Lake,677,,Lạc Long Quân,Phú Thượng,Tây Hồ,92,11.04,Bắc,Nam,2,
,,,Đội Cấn,Đội Cấn,Ba Đình,35,0.8,,,2,1
Sun Square,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,96,3.85,Tây,Bắc,3,2
HH4 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,55,1.1,Tây - Bắc,Đông - Bắc,2,1
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,56,1.52,Tây - Bắc,Đông - Nam,2,2
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,64,2.4,Tây - Bắc,Đông - Nam,2,2
Heritage West Lake,677,,Lạc Long Quân,Phú Thượng,Tây Hồ,93,9.6,,,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,61,3.1,Tây - Nam,Tây - Nam,2,2
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,60,2.4,Bắc,Nam,2,
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,152,5.5,,Đông - Nam,3,3
Vườn Đào,,,Lạc Long Quân,Phú Thượng,Tây Hồ,126,4.1,,,3,2
Sunshine City,,,,Đông Ngạc,Bắc Từ Liêm,98.3,4.5,,,3,
VC7 Housing Complex - 136 Hồ Tùng Mậu,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,128,3.8,,,3,2
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,105,5.6,Tây - Bắc,Đông - Nam,3,2
,,,,Thụy Khuê,Tây Hồ,48,1.09,,,2,
Sunshine Palace,,,Lĩnh Nam,Mai Động,Hoàng Mai,80,3,,,,
Kosmo Tây Hồ,,,Xuân La,Xuân Tảo,Bắc Từ Liêm,80,4,,,,
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,83,2.8,,,2,2
,,,Cửa Bắc,Quán Thánh,Ba Đình,40,1.95,,,2,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,60,1.53,,,2,1
The Nine,9,,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,116.9,6.88,Đông,Đông,3,2
The Nine,,,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,116.9,6.88,Tây,Đông - Nam,3,2
The Nine,,,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,106.6,6.8,Đông - Nam,Đông - Nam,3,2
N03-T3&T4 Ngoại Giao Đoàn,,,,Xuân Đỉnh,Bắc Từ Liêm,158,9.05,,,3,
D’. El Dorado,,,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,43,2.5,,Đông - Bắc,1,1
Chung cư Ban cơ yếu Chính phủ,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,124.3,4.55,,,3,2
The Nine,,,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,108.6,6.4,Đông,Đông,3,2
PentStudio,,,Lạc Long Quân,Phú Thượng,Tây Hồ,90,5.3,,,1,2
Sky Central,176,,Định Công,Định Công,Hoàng Mai,73,2.77,,,2,2
The Vesta,,,,Phú Lãm,Hà Đông,67,1.6,,,2,2
VP3 Linh Đàm,,,Nguyễn Duy Trinh,Hoàng Liệt,Hoàng Mai,69,1.55,Tây - Nam,Đông - Bắc,2,2
ĐTM Dịch Vọng,,,,Dịch Vọng,Cầu Giấy,170,6.8,Tây,Đông - Nam,4,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,97,3.57,,,3,2
Tòa Tháp Thiên Niên Kỷ,4,,Quang Trung,Yết Kiêu,Hà Đông,60,2.5,Đông - Bắc,Tây - Nam,2,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,54,1.27,Tây - Bắc,Đông - Nam,1,1
90 Nguyễn Tuân,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,95,4.6,Tây - Bắc,Đông - Nam,3,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,56,1.295,Đông - Bắc,Tây - Nam,2,1
Văn Khê,,,Văn Khê,La Khê,Hà Đông,59,1.68,,,2,1
Eurowindow River Park,,,5,Đông Hội,Đông Anh,81.3,2.15,,,2,
The Pride,,,Tố Hữu,La Khê,Hà Đông,88,2.35,,,2,2
Hyundai Hillstate,,,Tô Hiệu,Hà Cầu,Hà Đông,103,3.38,,,,
Văn Phú Victoria,,,Lê Trọng Tấn,Phú La,Hà Đông,60,1.95,,,2,1
Eurowindow River Park,,,5,Đông Hội,Đông Anh,71,2.52,,,2,2
Usilk City,,,Tố Hữu,La Khê,Hà Đông,79.4,2.05,,,2,2
Usilk City,,,Tố Hữu,La Khê,Hà Đông,116,2.9,,,3,2
Xuân Mai Tower - CT2 Tô Hiệu,,,Tô Hiệu,Hà Cầu,Hà Đông,57,1.75,,Đông - Nam,2,1
Hà Nội Homeland,,,,Thượng Thanh,Long Biên,78,2.85,Đông - Nam,Tây - Bắc,3,2
Mipec Riverside,,,Long Biên,Ngọc Lâm,Long Biên,228,15,,,3,3
Hyundai Hillstate,,,Tô Hiệu,Hà Cầu,Hà Đông,123,4.1,,Đông - Nam,3,2
Imperia Garden,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,70,3.75,Tây - Bắc,Đông - Nam,2,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,75,1.98,,Đông - Nam,2,2
Hyundai Hillstate,,,Tô Hiệu,Hà Cầu,Hà Đông,136,4.4,,Đông - Nam,3,2
Chung cư Ban cơ yếu Chính phủ,,,Lê Văn Lương,Thanh Xuân Bắc,Thanh Xuân,124,4.59,Tây - Nam,Đông - Bắc,3,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,104,2.78,,,3,3
Royal City,72,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,104,4,Đông - Bắc,Đông - Nam,2,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,97,3.69,Đông - Nam,,3,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,90,3.33,,Đông - Nam,3,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,75,2.79,Đông - Nam,,2,2
Tòa Tháp Thiên Niên Kỷ,,,Quang Trung,Yết Kiêu,Hà Đông,116,5.22,,Đông - Nam,3,2
Tòa Tháp Thiên Niên Kỷ,,,Quang Trung,Yết Kiêu,Hà Đông,60,2.2,Đông - Nam,,2,1
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,75,2.8,,,2,2
Chung cư Ban cơ yếu Chính phủ,,,,Nhân Chính,Thanh Xuân,72.7,3.05,,,2,
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,104,5.35,Tây - Nam,Đông - Bắc,2,2
Vinhomes West Point,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,63,3.2,Tây - Bắc,Đông - Nam,2,2
,,,Vân Hồ 3,Lê Đại Hành,Hai Bà Trưng,48,1.1,,,2,2
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,54,2.15,Đông - Nam,Tây - Bắc,2,2
An Bình City,,,,Cổ Nhuế 1,Bắc Từ Liêm,74,3.4,,,2,
Kosmo Tây Hồ,,,Xuân La,Xuân Tảo,Bắc Từ Liêm,86,5.5,,,2,2
KĐT Cổ Nhuế,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,106,4.03,,,3,
Green Stars,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,70,2.6,,,2,2
Nhà ở cho CBCS Bộ Công an,43,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70,2.6,,,2,2
An Bình City,,,,Cổ Nhuế 1,Bắc Từ Liêm,83,3.6,,,3,2
Eco Lake View,32,,Đại Từ,Đại Kim,Hoàng Mai,58,2.25,Đông,Tây,2,2
CT36 - Dream Home,,,Nguyễn Cảnh Dị,Định Công,Hoàng Mai,60,2.3,Đông - Nam,Tây - Bắc,2,2
Sunshine City,,,,Đông Ngạc,Bắc Từ Liêm,100,4.3,,,3,
Tecco Diamond,,,,Tứ Hiệp,Thanh Trì,69.6,2.17,,Đông - Bắc,2,2
Booyoung,,,Vũ Trọng Khánh,Mỗ Lao,Hà Đông,89,3.57,Tây - Nam,Đông - Nam,3,2
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,74,1.88,Tây - Bắc,Đông - Bắc,3,2
BRG Diamond Residence,25,,Lê Văn Lương,Nhân Chính,Thanh Xuân,120,6.55,Tây - Bắc,Đông - Nam,3,
KĐT Linh Đàm,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,74,1.9,,,2,
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,60.4,1.62,Tây - Nam,Đông - Bắc,2,1
Park Hill Premium - Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,75,4.28,Đông,Đông,2,2
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,133,7.9,Đông - Bắc,Đông - Bắc,4,2
Chung cư 536A Minh Khai,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74,3,,,,
,,,Xã Đàn,Phương Liên,Đống Đa,35,0.65,,,,
,,,Trần Quý Cáp,Khâm Thiên,Đống Đa,35,0.65,,,1,1
,,,Quốc Tử Giám,Văn Chương,Đống Đa,42,0.79,,,2,
8B Nguyễn Chí Thanh,,,,Láng Thượng,Đống Đa,36,0.79,,,1,
,,,Nguyễn Khánh Toàn,Quan Hoa,Cầu Giấy,41,0.7,,,,
,,,Đoàn Thị Điểm,Quốc Tử Giám,Đống Đa,30,0.55,,,,
HH1 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,47,1.23,,,2,1
Imperial Plaza,,,Giải Phóng,Phương Liệt,Thanh Xuân,90,3,,,,
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,56,1.45,,,2,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,90,6.3,,,3,2
VP5 Linh Đàm,,,Nguyễn Duy Trinh,Hoàng Liệt,Hoàng Mai,90.5,2.65,Đông - Nam,Tây - Bắc,3,2
Vinhomes Metropolis - Liễu Giai,,,Liễu Giai,Ngọc Khánh,Ba Đình,100.5,8.8,Nam,Tây,3,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,43,1.7,Tây - Nam,Đông - Bắc,2,1
La Casta Văn Phú,,,Lê Trọng Tấn,Phú La,Hà Đông,48,1.95,,,1,
Kosmo Tây Hồ,,,Xuân La,Xuân Tảo,Bắc Từ Liêm,80,4.4,,,2,2
Văn Phú Victoria,,,Lê Trọng Tấn,Phú La,Hà Đông,116,2.9,,,3,2
T&T Tower,120,,Định Công,Định Công,Hoàng Mai,84,3.28,,Đông - Nam,3,
Ngõ 169,,,Kim Mã,Kim Mã,Ba Đình,48,1,,,,
,,,Kim Mã,Kim Mã,Ba Đình,52,0.95,,,1,1
Ngõ 169,,,Kim Mã,Kim Mã,Ba Đình,50,0.99,,,1,1
Ecolife Capitol,58,,Tố Hữu,Trung Văn,Nam Từ Liêm,95,3.61,,,3,
Hà Nội Melody Residences,,,Bằng Liệt,Hoàng Liệt,Hoàng Mai,156,3.9,,,3,3
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,160,4.64,,Nam,,
Xuân Mai Complex,,,Tố Hữu,Yên Nghĩa,Hà Đông,66,1.73,Đông - Bắc,Tây - Nam,2,2
,,,,Xuân Đỉnh,Bắc Từ Liêm,76,1.5,,,,
The One Residence - Gamuda Garden,,,Pháp Vân,Yên Sở,Hoàng Mai,65,2.15,,,,
Đồng Phát Park View Tower,,,Tân Mai,Vĩnh Hưng,Hoàng Mai,81,2.55,,,2,2
Roman Plaza,,,Tố Hữu,Đại Mỗ,Nam Từ Liêm,190,11.5,Đông - Bắc,Tây - Nam,,
HH1 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,72,1.39,Tây,Đông - Nam,2,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,74,2.8,,,3,2
B1-B2 Tây Nam Linh Đàm,,,,Hoàng Liệt,Hoàng Mai,67.5,2.6,Đông - Nam,Tây - Nam,2,2
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,53,2.2,Tây - Nam,Đông - Bắc,2,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,54,2.2,,,2,
,,,Mỹ Đình,Mỹ Đình 2,Nam Từ Liêm,145,3.5,,,3,
Việt Đức Complex,,,Khuất Duy Tiến,Nhân Chính,Thanh Xuân,106,3.5,Tây - Bắc,Đông - Nam,3,
The Vesta,,,,Phú Lãm,Hà Đông,57,1.39,Nam,Bắc,2,2
Kiến Hưng,,,Lê Trọng Tấn,Kiến Hưng,Hà Đông,70,1.49,Bắc,Nam,2,2
,,,Thái Hà,Trung Liệt,Đống Đa,52,0.65,,,2,
Tòa Tháp Thiên Niên Kỷ,4,,Quang Trung,Yết Kiêu,Hà Đông,61,2.2,Đông - Bắc,Tây - Nam,2,1
HH1 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,39,1.1,Đông - Bắc,Tây - Nam,1,1
Rose Town,,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,88,3.15,,,3,2
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,105,4.3,Đông - Nam,Tây - Nam,3,2
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,80,2.7,Đông - Bắc,Đông - Nam,2,2
Mipec Riverside,,,Long Biên,Ngọc Lâm,Long Biên,290,19.5,Đông - Bắc,Đông - Nam,4,3
Mipec Riverside,,,Long Biên,Ngọc Lâm,Long Biên,140,6,Tây - Nam,Đông - Bắc,3,2
Green Pearl 378 Minh Khai,378,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74,3.5,Tây - Bắc,Đông - Nam,2,2
The Zen Residence,,,Pháp Vân,Yên Sở,Hoàng Mai,75,3.4,Tây - Bắc,Đông - Nam,2,2
The Zen Residence,,,Pháp Vân,Yên Sở,Hoàng Mai,95.25,3.6,Tây - Bắc,Đông - Nam,3,2
Diamond Park Plaza ,,,Láng Hạ,Thành Công,Ba Đình,125,11.999,Đông - Bắc,Tây - Nam,3,2
Legend Tower 109 Nguyễn Tuân,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,85.5,4.87,Tây - Nam,Đông - Bắc,3,2
Green Park Trần Thủ Độ,1,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,99,3.17,,,3,2
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,75,2.8,Đông - Bắc,Tây - Nam,2,2
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,99,3.85,Tây - Nam,Đông - Bắc,3,
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,82,3.1,,,3,2
Rivera Park Hà Nội,69,,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,92,5.45,Tây - Nam,Đông - Bắc,3,2
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,99,3.6,,Tây,3,
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,109.9,4,,,3,2
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,92,4,,,,
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,105,3.8,,,3,
90 Nguyễn Tuân,90,,Nguyễn Tuân,Thanh Xuân Bắc,Thanh Xuân,71.22,2.9,Tây - Bắc,Đông - Nam,2,
Golden Land,,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,95,3.3,,,2,2
Green Park Trần Thủ Độ,1,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,54,2.5,,,2,
Imperial Plaza,360,,Giải Phóng,Phương Liệt,Thanh Xuân,95,3.6,,,3,
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,68,2.8,Đông - Bắc,Tây - Nam,2,2
Green Pearl 378 Minh Khai,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74,3.7,,,2,
T&T Tower,120,,Định Công,Định Công,Hoàng Mai,71,2.85,,,2,
FLC Complex Phạm Hùng,36,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,131,4.5,Nam,Đông - Nam,3,2
Imperial Plaza,360,,Giải Phóng,Phương Liệt,Thanh Xuân,78,3,,,,
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,60,2.3,,,2,
FLC Complex Phạm Hùng,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,55,2.3,Đông - Nam,Tây - Bắc,2,1
Rivera Park Hà Nội,,,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,77,4,,,,
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,78,2.95,Tây - Bắc,Đông - Nam,2,2
Văn Khê,,,,La Khê,Hà Đông,82,1.9,,,2,2
Sunshine Garden,,,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,141,5.8,Tây - Bắc,Tây - Bắc,4,2
,,,Tây Sơn,Thịnh Quang,Đống Đa,33,0.63,,,1,1
The Link 345-CT1,,,Phạm Văn Đồng,Đông Ngạc,Bắc Từ Liêm,107,5.2,,,3,2
Rice City Linh Đàm,,,Linh Đàm,Hoàng Liệt,Hoàng Mai,68,2.4,,,2,2
Eco Lake View,32,,Đại Từ,Đại Kim,Hoàng Mai,104,3.95,,,3,2
Gelexia Riverside,885,,Tam Trinh,Yên Sở,Hoàng Mai,65,2.35,,,2,2
Lancaster Hà Nội,20,,Núi Trúc,Giảng Võ,Ba Đình,125,7.5,,,3,2
Summit Building,216,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,101,5.9,,,2,2
Mỹ Đình Pearl,,,Châu Văn Liêm,Phú Đô,Nam Từ Liêm,74,3.2,Tây - Nam,Đông - Nam,2,2
,,,Kim Liên,Kim Liên,Đống Đa,100,2.68,,,4,2
CT2 Trung Văn Viettel Hancic,,,Tố Hữu,Trung Văn,Nam Từ Liêm,131,4.8,,,3,
Tây Hồ River View,,,Thượng Thụy,Phú Thượng,Tây Hồ,71.93,2.7,Tây - Nam,Đông - Bắc,2,2
Tây Hồ River View,,,Thượng Thụy,Phú Thượng,Tây Hồ,59.3,2.5,Tây - Bắc,Đông - Nam,2,2
Golden Park Tower,,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,136.1,7.126,Đông - Nam,Tây - Nam,3,2
Ecolife Capitol,58,,Tố Hữu,Trung Văn,Nam Từ Liêm,50,2,,,,
PCC1 Triều Khúc,44,,Triều Khúc,Thanh Xuân Nam,Thanh Xuân,81,3.65,Tây - Nam,Đông - Bắc,3,2
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,112,5.8,Đông - Bắc,Tây - Nam,3,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,62,2.855,Đông - Nam,Tây - Bắc,2,2
Xuân Mai Complex,,,Tố Hữu,Yên Nghĩa,Hà Đông,65,1.75,Đông - Nam,Tây - Bắc,2,2
,,,Văn Cao,Đội Cấn,Ba Đình,52,0.59,Tây,,2,1
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,30,1.2,Đông - Bắc,Tây - Nam,1,1
Eco City Việt Hưng,,,,Giang Biên,Long Biên,63,2.2,,,2,2
Chung cư 51 Quan Nhân,,,Quan Nhân,Nhân Chính,Thanh Xuân,73,2.9,,,2,
PCC1 Triều Khúc,,,Triều Khúc,Thanh Xuân Nam,Thanh Xuân,57,2.85,Đông - Bắc,Tây - Nam,2,2
Hồ Gươm Plaza,,,Trần Phú,Mỗ Lao,Hà Đông,94.8,3.5,,,3,2
Masteri Water Front,,,Quốc Lộ 5B,Đa Tốn,Gia Lâm,81.57,4.5,Đông - Nam,Đông - Nam,3,2
Rivera Park Hà Nội,,,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,71,3.6,,,2,
Gold Tower,,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,146,7,Tây - Bắc,Đông - Nam,3,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,103,2.85,Đông - Nam,Đông - Bắc,3,3
,,,Khương Thượng,Khương Thượng,Đống Đa,40,1.5,,,3,1
Green Stars,234,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,66.8,2.68,,,2,2
Tổng cục 5 Bộ Công An,,,Tôn Quang Phiệt,Cổ Nhuế 1,Bắc Từ Liêm,86,3.35,Nam,Bắc,3,
Northern Diamond,,,,Long Biên,Long Biên,116,3.8,,,3,
Chelsea Park,,,Trung Kính,Yên Hòa,Cầu Giấy,227,10,,,4,3
Le Grand Jardin Sài Đồng,,,,,Long Biên,100,4.25,,,3,
TSG Lotus Sài Đồng,,,Sài Đồng,Việt Hưng,Long Biên,92,2.7,Đông - Bắc,Tây - Nam,3,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,43,2.1,Tây - Bắc,Đông - Nam,1,1
NHS Trung Văn,,,Tố Hữu,Trung Văn,Nam Từ Liêm,69.8,2.652,Tây - Bắc,Đông - Nam,2,2
Moonlight 1 - An Lạc Green Symphony,,,Vành Đai 3.5,An Khánh,Hoài Đức,72,3,,,,
N03-T1 Ngoại Giao Đoàn,,,Nguyễn Văn Huyên,Xuân Đỉnh,Bắc Từ Liêm,96.8,4.5,Bắc,Nam,3,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,55,2.79,Đông - Bắc,Tây - Nam,2,2
,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,52,0.645,,,2,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,43,1.8,Tây - Nam,Đông - Bắc,1,1
